Admiralty Primary School Hall,968
Ang Mo Kio Primary School Hall,867
Beacon Primary School Hall,1006
Beatty Secondary School Hall,420
Bedok Green Primary School Hall,969
Bendemeer Primary School Hall,821
Bendemeer Secondary School Hall,554
Bishan Sports Hall,292
Bowen Secondary School Hall,869
Bukit Gombak Sports Hall,293
Bukit Panjang Govt High School Hall,823
Bukit Panjang Primary School Hall,879
Bukit View Secondary School Hall,325
Canberra Primary School Hall,877
Canberra Secondary School Hall,919
Cantonment Primary School Hall,824
Casuarina Primary School Hall,933
Cedar Primary School Hall,1034
Changkat Changi Secondary School Hall,1038
Changkat Primary School Hall,1041
Clementi Primary School Hall,564
Clementi Sports Hall,296
Clementi Town Secondary School Hall,565
Commonwealth Secondary School Hall,566
Compassvale Primary School Hall,976
Concord Primary School Hall,918
Dazhong Primary School Hall,977
Deyi Secondary School Hall,1042
Dunman High School Hall,825
East Spring Primary School Hall,874
Edgefield Primary School Hall,927
Edgefield Secondary School Hall,826
Elias Park Primary School Hall,1015
Eunoia Junior College Sports Hall,1106
Evergreen Primary School Hall,979
Fajar Secondary School Hall,953
Fengshan Primary School Hall,1017
Fern Green Primary School Hall,982
First Toa Payoh Primary School Hall,916
Frontier Primary School Hall,567
Fuhua Secondary School Hall,424
Gan Eng Seng Primary School Hall,854
Gongshang Primary School Hall A (Level 3),330
Gongshang Primary School Hall B (Level 1),423
Greendale Primary School Hall,328
Greenridge Primary School Hall,923
Greenridge Secondary School Hall,559
Heartbeat @ Bedok ActiveSG Sports Hall,895
Henry Park Primary School Hall,950
Hillgrove Secondary School Hall,948
Hougang Secondary School Hall,827
Hougang Sports Hall,301
Hua Yi Secondary School Hall,332
Innova Primary School Hall,333
Jiemin Primary School Hall,985
Junyuan Primary School Hall,457
Junyuan Secondary School Hall,858
Jurong East Sports Hall,302
Jurong Secondary School Hall,455
Jurong West Sports Hall,304
Juying Primary School Hall,986
Juying Secondary School Hall,829
Keming Primary School Hall,885
Kranji Secondary School Hall,1054
Kuo Chuan Presbyterian Primary School Hall,987
Lakeside Primary School Hall,862
Lianhua Primary School Hall,955
Marsiling Primary School Hall,989
Mayflower Secondary School Hall,881
Meridian Primary School Hall,934
Meridian Secondary School Hall,556
Nan Hua High School Hall,426
Nanyang Primary School Hall,991
Naval Base Secondary School Hall,446
New Town Primary School Hall,856
New Town Secondary School Hall,1052
North Vista Primary School Hall,883
North Vista Secondary School Hall,830
Northland Primary School Hall,751
Northland Secondary School Hall,560
Northoaks Primary School Hall,831
Oasis Primary School Hall,884
Our Tampines Hub - Community Auditorium,850
Palm View Primary School Hall,832
Park View Primary School Hall,1021
Pasir Ris Crest Secondary School Hall,459
Pasir Ris Secondary School Hall,338
Pasir Ris Sports Hall,542
Peiying Primary School Hall,1051
Poi Ching School Hall,557
Punggol Green Primary School Hall,996
Punggol View Primary School Hall,947
Qifa Primary School Hall,997
Qihua Primary School Hall,887
Queenstown Primary School Hall,833
Queensway Secondary School Hall,430
Radin Mas Primary School Hall,834
Sembawang Primary School Hall,835
Seng Kang Primary School Hall,928
Seng Kang Secondary School Hall,929
Sengkang Green Primary School Hall,866
Sengkang Sports Hall,308
Serangoon Garden Secondary School Hall,449
Shuqun Primary School Hall,924
St Gabriel's Secondary School Hall,562
St. Anthony's Primary School Hall,863
Stamford Primary School Hall,1000
Swiss Cottage Secondary School Hall,861
Teck Ghee Primary School Hall,1027
Toa Payoh Sports Hall,311
Townsville Primary School Hall,882
Unity Secondary School Hall,342
West View Primary School Hall,1001
Westwood Secondary School Hall,936
Woodgrove Primary School Hall,1030
Woodgrove Secondary School Hall,1002
Woodlands Ring Primary School Hall,878
Woodlands Secondary School Hall,561
Woodlands Sports Hall,312
Yio Chu Kang Primary School Hall,946
Yio Chu Kang Secondary School Hall,450
Yio Chu Kang Sports Hall,314
Yishun Primary School Hall,868
Yishun Secondary School Hall,434
Yishun Sports Hall,316
Yishun Town Secondary School Hall,344
Yuan Ching Secondary School Hall,456
Zhonghua Primary School Hall,448